# Energy DOS
-8.24131727e-01 1.86970025e-01
-8.16996336e-01 1.84987366e-01
-8.09860945e-01 1.82884365e-01
-8.02725554e-01 1.80665627e-01
-7.95590162e-01 1.78335235e-01
-7.88455009e-01 1.75897837e-01
-7.81319618e-01 1.73358440e-01
-7.74184227e-01 1.70721874e-01
-7.67048836e-01 1.67993486e-01
-7.59913683e-01 1.65178612e-01
-7.52778292e-01 1.62282601e-01
-7.45642900e-01 1.59311429e-01
-7.38507509e-01 1.56271279e-01
-7.31372118e-01 1.53167486e-01
-7.24236965e-01 1.50007442e-01
-7.17101574e-01 1.46796718e-01
-7.09966183e-01 1.43542349e-01
-7.02830791e-01 1.40251234e-01
-6.95695639e-01 1.36930689e-01
-6.88560247e-01 1.33587018e-01
-6.81424856e-01 1.30228549e-01
-6.74289465e-01 1.26862109e-01
-6.67154074e-01 1.23495728e-01
-6.60018921e-01 1.20137364e-01
-6.52883530e-01 1.16794676e-01
-6.45748138e-01 1.13476083e-01
-6.38612747e-01 1.10189162e-01
-6.31477594e-01 1.06942996e-01
-6.24342203e-01 1.03745528e-01
-6.17206812e-01 1.00605361e-01
-6.10071421e-01 9.75309014e-02
-6.02936029e-01 9.45309773e-02
-5.95800877e-01 9.16141346e-02
-5.88665485e-01 8.87888223e-02
-5.81530094e-01 8.60639587e-02
-5.74394703e-01 8.34477022e-02
-5.67259550e-01 8.09491798e-02
-5.60124159e-01 7.85762966e-02
-5.52988768e-01 7.63375759e-02
-5.45853376e-01 7.42415264e-02
-5.38717985e-01 7.22955763e-02
-5.31582832e-01 7.05083534e-02
-5.24447441e-01 6.88871369e-02
-5.17312050e-01 6.74395040e-02
-5.10176659e-01 6.61723539e-02
-5.03041506e-01 6.50930181e-02
-4.95906115e-01 6.42077550e-02
-4.88770723e-01 6.35230169e-02
-4.81635332e-01 6.30445108e-02
-4.74499941e-01 6.27778545e-02
-4.67364788e-01 6.27278015e-02
-4.60229397e-01 6.28993660e-02
-4.53094006e-01 6.32962883e-02
-4.45958614e-01 6.39223531e-02
-4.38823462e-01 6.47804886e-02
-4.31688070e-01 6.58731908e-02
-4.24552679e-01 6.72027320e-02
-4.17417288e-01 6.87699467e-02
-4.10281897e-01 7.05758706e-02
-4.03146744e-01 7.26203546e-02
-3.96011353e-01 7.49029517e-02
-3.88875961e-01 7.74227083e-02
-3.81740570e-01 8.01773146e-02
-3.74605417e-01 8.31644684e-02
-3.67470026e-01 8.63805786e-02
-3.60334635e-01 8.98224190e-02
-3.53199244e-01 9.34845731e-02
-3.46063852e-01 9.73620117e-02
-3.38928699e-01 1.01448372e-01
-3.31793308e-01 1.05737470e-01
-3.24657917e-01 1.10221773e-01
-3.17522526e-01 1.14892818e-01
-3.10387373e-01 1.19742282e-01
-3.03251982e-01 1.24760799e-01
-2.96116590e-01 1.29938379e-01
-2.88981199e-01 1.35264054e-01
-2.81845808e-01 1.40727475e-01
-2.74710655e-01 1.46315753e-01
-2.67575264e-01 1.52017817e-01
-2.60439873e-01 1.57820374e-01
-2.53304482e-01 1.63710564e-01
-2.46169329e-01 1.69674411e-01
-2.39033937e-01 1.75698534e-01
-2.31898546e-01 1.81768194e-01
-2.24763155e-01 1.87868729e-01
-2.17627764e-01 1.93985745e-01
-2.10492611e-01 2.00103492e-01
-2.03357220e-01 2.06207439e-01
-1.96221828e-01 2.12281898e-01
-1.89086437e-01 2.18311384e-01
-1.81951284e-01 2.24280640e-01
-1.74815893e-01 2.30173931e-01
-1.67680502e-01 2.35976145e-01
-1.60545111e-01 2.41672024e-01
-1.53409719e-01 2.47246653e-01
-1.46274567e-01 2.52684832e-01
-1.39139175e-01 2.57972091e-01
-1.32003784e-01 2.63094276e-01
-1.24868393e-01 2.68037915e-01
-1.17733240e-01 2.72788703e-01
-1.10597849e-01 2.77334332e-01
-1.03462458e-01 2.81661928e-01
-9.63270664e-02 2.85760045e-01
-8.91916752e-02 2.89616853e-01
-8.20565224e-02 2.93221742e-01
-7.49211311e-02 2.96564639e-01
-6.77857399e-02 2.99636424e-01
-6.06503487e-02 3.02427918e-01
-5.35151958e-02 3.04931790e-01
-4.63798046e-02 3.07140619e-01
-3.92444134e-02 3.09048027e-01
-3.21090221e-02 3.10648918e-01
-2.49736309e-02 3.11938465e-01
-1.78384781e-02 3.12912732e-01
-1.07030869e-02 3.13569129e-01
-3.56769562e-03 3.13905418e-01
3.56769562e-03 3.13920528e-01
1.07028484e-02 3.13614309e-01
1.78382397e-02 3.12987268e-01
2.49736309e-02 3.12041014e-01
3.21090221e-02 3.10777903e-01
3.92444134e-02 3.09201092e-01
4.63795662e-02 3.07314903e-01
5.35149574e-02 3.05124104e-01
6.06503487e-02 3.02634358e-01
6.77857399e-02 2.99852252e-01
7.49208927e-02 2.96785325e-01
8.20562840e-02 2.93441176e-01
8.91916752e-02 2.89828718e-01
9.63270664e-02 2.85957247e-01
1.03462458e-01 2.81837046e-01
1.10597610e-01 2.77478486e-01
1.17733002e-01 2.72892714e-01
1.24868393e-01 2.68091351e-01
1.32003784e-01 2.63086736e-01
1.39138937e-01 2.57891476e-01
1.46274328e-01 2.52518296e-01
1.53409719e-01 2.46980324e-01
1.60545111e-01 2.41291717e-01
1.67680502e-01 2.35465795e-01
1.74815655e-01 2.29517311e-01
1.81951046e-01 2.23459229e-01
1.89086437e-01 2.17306957e-01
1.96221828e-01 2.11074114e-01
2.03356981e-01 2.04775736e-01
2.10492373e-01 1.98425248e-01
2.17627764e-01 1.92037448e-01
2.24763155e-01 1.85626119e-01
2.31898546e-01 1.79205269e-01
2.39033699e-01 1.72788754e-01
2.46169090e-01 1.66389540e-01
2.53304482e-01 1.60021305e-01
2.60439873e-01 1.53696686e-01
2.67575026e-01 1.47428066e-01
2.74710417e-01 1.41227320e-01
2.81845808e-01 1.35106340e-01
2.88981199e-01 1.29076719e-01
2.96116590e-01 1.23148002e-01
3.03251743e-01 1.17331550e-01
3.10387135e-01 1.11636415e-01
